Delta Detector Width, Delta E Detector deposit,E Detector deposit
38.7,2.65779,35.7209
38.8,2.65201,35.8267
38.9,2.64625,35.9324
39,2.64053,36.0381
39.1,2.63484,36.1438
39.2,2.62917,36.2495
39.3,2.62353,36.3551
39.4,2.61792,36.4607
39.5,2.61234,36.5663
39.6,2.60679,36.6719
39.7,2.60126,36.7774
39.8,2.59576,36.8829
39.9,2.59028,36.9884
40,2.58484,37.0938
40.1,2.57942,37.1992
40.2,2.57402,37.3046
40.3,2.56865,37.41
40.4,2.56331,37.5154
40.5,2.55799,37.6207
40.6,2.5527,37.726
40.7,2.54744,37.8312
40.8,2.5422,37.9365
40.9,2.53698,38.0417
41,2.53179,38.1469
41.1,2.52662,38.252
41.2,2.52148,38.3572
41.3,2.51636,38.4623
41.4,2.51126,38.5674
41.5,2.50619,38.6725
41.6,2.50115,38.7775
41.7,2.49612,38.8825
41.8,2.49112,38.9875
41.9,2.48614,39.0925
42,2.48119,39.1975
42.1,2.47626,39.3024
42.2,2.47135,39.4073
42.3,2.46646,39.5122
42.4,2.4616,39.6171
42.5,2.45675,39.7219
42.6,2.45193,39.8267
42.7,2.44713,39.9315
42.8,2.44236,40.0363
42.9,2.4376,40.1411
43,2.43287,40.2458
43.1,2.42815,40.3505
43.2,2.42346,40.4552
43.3,2.41879,40.5599
43.4,2.41414,40.6645
43.5,2.40951,40.7692
43.6,2.4049,40.8738
43.7,2.40031,40.9784
43.8,2.39574,41.0829
43.9,2.39119,41.1875
44,2.38666,41.292
44.1,2.38215,41.3965
44.2,2.37766,41.501
44.3,2.37319,41.6055
44.4,2.36874,41.7099
44.5,2.36431,41.8144
44.6,2.3599,41.9188
44.7,2.3555,42.0232
44.8,2.35113,42.1275
44.9,2.34677,42.2319
45,2.34244,42.3362
45.1,2.33812,42.4405
45.2,2.33382,42.5448
45.3,2.32953,42.6491
45.4,2.32527,42.7534
45.5,2.32102,42.8576
45.6,2.31679,42.9619
45.7,2.31258,43.0661
45.8,2.30839,43.1703
45.9,2.30421,43.2744
46,2.30006,43.3786
46.1,2.29591,43.4827
46.2,2.29179,43.5869
46.3,2.28768,43.691
46.4,2.28359,43.7951
46.5,2.27952,43.8991
46.6,2.27546,44.0032
46.7,2.27142,44.1072
46.8,2.2674,44.2113
46.9,2.26339,44.3153
47,2.2594,44.4193
47.1,2.25543,44.5232
47.2,2.25147,44.6272
47.3,2.24753,44.7311
47.4,2.2436,44.8351
47.5,2.23969,44.939
47.6,2.2358,45.0429
47.7,2.23192,45.1467
47.8,2.22805,45.2506
47.9,2.2242,45.3545
48,2.22037,45.4583
48.1,2.21655,45.5621
48.2,2.21275,45.6659
48.3,2.20896,45.7697
48.4,2.20519,45.8735
48.5,2.20143,45.9772
48.6,2.19769,46.081
48.7,2.19396,46.1847
48.8,2.19024,46.2884
48.9,2.18654,46.3921
49,2.18286,46.4958
49.1,2.17919,46.5995
49.2,2.17553,46.7031
49.3,2.17189,46.8068
49.4,2.16826,46.9104
49.5,2.16465,47.014
49.6,2.16104,47.1176
49.7,2.15746,47.2212
49.8,2.15388,47.3248
49.9,2.15032,47.4283
50,2.14678,47.5319
50.1,2.14324,47.6354
50.2,2.13973,47.7389
50.3,2.13622,47.8424
50.4,2.13273,47.9459
50.5,2.12925,48.0494
50.6,2.12578,48.1529
50.7,2.12233,48.2563
50.8,2.11889,48.3598
50.9,2.11546,48.4632
51,2.11204,48.5666
51.1,2.10864,48.67
51.2,2.10525,48.7734
51.3,2.10187,48.8768
51.4,2.09851,48.9802
51.5,2.09515,49.0835
51.6,2.09181,49.1868
51.7,2.08849,49.2902
51.8,2.08517,49.3935
51.9,2.08187,49.4968
52,2.07858,49.6001
52.1,2.0753,49.7034
52.2,2.07203,49.8066
52.3,2.06877,49.9099
52.4,2.06553,50.0131
52.5,2.0623,50.1164
52.6,2.05908,50.2196
52.7,2.05587,50.3228
52.8,2.05267,50.426
52.9,2.04948,50.5292
53,2.04631,50.6324
53.1,2.04314,50.7355
53.2,2.03999,50.8387
53.3,2.03685,50.9418
53.4,2.03372,51.0449
53.5,2.0306,51.1481
53.6,2.02749,51.2512
53.7,2.0244,51.3543
53.8,2.02131,51.4574
53.9,2.01824,51.5604
54,2.01517,51.6635
54.1,2.01212,51.7665
54.2,2.00907,51.8696
54.3,2.00604,51.9726
54.4,2.00302,52.0756
54.5,2.00001,52.1787
54.6,1.99701,52.2817
54.7,1.99402,52.3846
54.8,1.99104,52.4876
54.9,1.98807,52.5906
55,1.98511,52.6936
55.1,1.98216,52.7965
55.2,1.97922,52.8994
55.3,1.97629,53.0024
55.4,1.97337,53.1053
55.5,1.97046,53.2082
55.6,1.96756,53.3111
55.7,1.96467,53.414
55.8,1.96179,53.5169
55.9,1.95892,53.6197
56,1.95606,53.7226
56.1,1.95321,53.8255
56.2,1.95037,53.9283
56.3,1.94753,54.0311
56.4,1.94471,54.134
56.5,1.9419,54.2368
56.6,1.93909,54.3396
56.7,1.9363,54.4424
56.8,1.93351,54.5451
56.9,1.93074,54.6479
57,1.92797,54.7507
57.1,1.92521,54.8535
57.2,1.92246,54.9562
57.3,1.91973,55.0589
57.4,1.91699,55.1617
57.5,1.91427,55.2644
57.6,1.91156,55.3671
57.7,1.90886,55.4698
57.8,1.90616,55.5725
57.9,1.90348,55.6752
58,1.9008,55.7779
58.1,1.89813,55.8805
58.2,1.89547,55.9832
58.3,1.89282,56.0858
58.4,1.89017,56.1885
58.5,1.88754,56.2911
58.6,1.88491,56.3937
58.7,1.8823,56.4964
58.8,1.87969,56.599
58.9,1.87709,56.7016
59,1.87449,56.8042
59.1,1.87191,56.9068
59.2,1.86933,57.0093
59.3,1.86676,57.1119
59.4,1.8642,57.2145
59.5,1.86165,57.317
59.6,1.85911,57.4196
59.7,1.85657,57.5221
59.8,1.85405,57.6246
59.9,1.85153,57.7271
